400	200	150	85	75	74	68	60	50	32	20	3	200	150	50	85	75	74	68	60	32	20
400	170	120	86	82	75	43	40	20			2	170	120	86	20	82	75	43	40		
400	180	84	76	60	40	35	30	15			2	180	84	76	60	40	35	30	15		
400	210	180	93	90	87	74	72	62	31		3	210	93	62	31	180	90	87	74	72	
400	230	154	97	80	66	63	60				2	154	97	80	66	230	63	60			
400	140	88	65	62	48	32	13	7			2	140	88	65	62	48	32	13	7		
400	200	192	180	71	65	64	45	20	8		2	200	180	20	192	71	65	64	45	8	
400	220	180	95	72	65	34	21				2	220	180	95	72	65	34	21			
400	215	105	86	67	34	26	23	15			2	215	105	67	86	34	26	23	15		
400	145	85	85	62	55	45	32	22	8		2	145	85	85	55	22	8	62	45	32	
400	164	86	65	50	40	33	30	25	22	5	2	164	86	65	50	30	40	33	25	22	5
400	155	124	75	62	50	38	28	15			2	155	124	75	28	15	62	50	38		
400	301	180	140	99	72	61	18	11			3	301	99	180	140	72	61	18	11		
400	325	255	145	96	76	75	63	24	17		3	325	75	255	145	96	76	63	24	17	
400	350	250	150	85	45	25	10	5			3	350	45	5	250	150	85	25	10		
400	305	95	86	85	75	65	42	18	13		2	305	95	86	85	75	65	42	18	13	
400	308	205	180	82	66	55	30	24	18	15	3	205	180	15	308	82	66	55	30	24	18
400	380	150	80	70	64	30	20	16			3	380	20	150	80	70	64	16	30		
400	250	200	150	100	92	90	88	66	34		3	250	150	200	100	66	34	92	90	88	
400	322	315	181	99	86	76	78	59	14		4	322	78	181	99	76	14	315	59	86	
400	340	200	150	95	86	48	32	24	5		3	200	150	48	340	32	95	86	24	5	
400	201	189	188	91	84	65	35	26	19		3	188	84	65	35	26	201	189	91	19	
400	340	91	90	89	70	68	22	20			2	91	90	89	70	22	340	68	20		
400	200	180	92	86	70	52	49	48	14		2	200	86	52	49	14	180	92	70	48	
400	150	95	86	65	55	48	36	24	22		2	150	95	86	55	65	48	36	24	22	
400	250	150	100	86	52	48	48	32	24		2	250	150	100	86	52	48	48	32	24	
400	300	95	90	82	69	48	42	28	11		2	300	69	28	95	90	82	48	42	11	
400	150	77	71	63	61	59	59				2	150	71	61	59	59	77	63			
400	150	110	85	70	62	55	50	45	15		2	150	110	85	55	70	62	50	45	15	
400	370	120	96	82	72	48	48	23	22	20	3	370	23	120	96	82	48	48	72	22	20
400	220	180	95	72	65	34	21				2	220	180	95	72	65	34	21			
400	308	205	180	82	55	30	18	15			3	205	180	15	308	55	30	82	18		
400	220	170	150	96	84	36	34				2	220	96	84	170	150	36	34			
400	340	96	91	84	63	59	7				2	340	59	96	91	84	63	7			
400	150	85	80	56	55	42	28	24			2	150	85	80	56	28	55	42	24		
400	220	170	95	48	22	21	19				2	220	170	95	48	22	21	19			
400	340	180	62	44	42	36	28	22			2	340	36	22	180	62	44	42	28		
400	250	150	143	78	35	32	25				2	250	150	143	78	35	32	25			
400	270	130	96	80	48	24	20	12	10		2	130	96	80	48	24	12	10	270	20	
400	150	96	92	66	54	36	25	24	18		2	150	96	92	36	25	66	54	24	18	
400	250	160	150	80	63	25	17	12			2	250	150	160	80	63	25	17	12		
400	340	150	100	58	48	22	12	8			2	340	48	12	150	100	58	22	8		
400	250	140	85	74	60	53	52	50	16		2	250	74	60	16	140	85	53	52	50	
400	300	200	150	80	70	50	20				3	300	80	20	200	150	50	70			
400	400	250	100	85	80	62	38	26			3	400	250	85	38	26	100	80	62		
400	390	132	85	77	63	48	21	15	9		3	390	9	132	85	77	63	21	15	48	
400	290	150	100	97	82	61	49	38	23	10	3	290	100	10	150	97	61	49	38	82	23
400	152	98	84	64	56	37	32	26	13		2	152	98	84	64	56	37	32	26	13	
400	94	83	63	61	59	42	27	21	18	17	2	94	83	63	61	59	21	18	42	27	17
400	340	280	191	89	66	64	34	28	24	12	3	340	34	24	280	89	28	191	66	64	12
400	340	323	305	261	252	238	213	109			7	261	109	340	323	305	252	238	213		
400	273	267	261	240	222	184	102	58			6	273	102	267	58	261	240	222	184		
400	343	305	296	280	262	227	214	146			7	227	146	343	305	296	280	262	214		
400	338	311	205	192	130	95	86	80			5	311	86	205	192	338	130	95	80		
400	343	197	180	111	95	92	83	61			4	197	180	343	111	95	92	83	61		
400	319	252	200	152	128	73	63	56			4	319	73	252	128	200	152	63	56		
400	337	310	246	217	177	92	68	56			4	217	177	337	56	310	68	246	92		
400	347	338	291	192	138	132	95	78			5	291	95	347	338	192	138	132	78		
400	324	310	305	200	178	159	101	76			5	324	76	200	178	310	305	159	101		
400	336	310	303	261	158	107	106	62			5	336	62	261	107	310	303	158	106		
400	346	225	224	178	177	153	115	100			5	225	153	178	177	346	224	115	100		
400	341	315	303	227	215	172	123	100			6	227	172	341	215	123	315	303	100		
400	347	332	318	269	264	252	224	66			7	332	66	347	318	269	264	252	224		
400	294	277	270	195	190	119	109	105			5	294	105	277	119	195	190	270	109		
400	330	329	287	265	264	215	192	137			7	215	137	330	329	287	265	264	192		
400	319	276	221	162	134	105	88	69			4	319	69	221	162	276	105	134	88		
400	326	310	273	166	153	144	142	135			6	326	166	153	310	144	142	273	135		
400	329	276	254	237	222	120	114	87			5	276	120	254	114	329	237	87	222		
400	349	324	250	250	249	173	166	105			6	250	105	349	173	166	324	250	249		
400	336	252	184	173	130	112	82	80			4	252	130	184	173	336	112	82	80		
400	272	241	231	228	224	139	132	110			5	272	110	241	139	231	132	228	224		
400	320	282	232	222	208	177	92	88			5	222	177	282	92	320	232	88	208		
400	291	249	238	226	186	174	76	59			5	226	174	291	76	249	59	238	186		
400	329	311	293	293	266	178	145	129			6	266	129	329	178	145	311	293	293		
400	325	322	270	189	188	188	172	86			5	189	188	188	172	270	86	325	322		
400	387	295	241	183	125	79	45	22			4	295	79	22	387	241	125	183	45		
400	394	328	269	211	154	96	58	31	13		5	328	58	13	394	269	96	211	31	154	
400	382	317	256	197	139	82	49	24			4	256	139	317	49	24	382	197	139		
400	399	335	278	216	159	101	64	37	19	8	5	399	335	64	278	101	19	216	159	8	37
400	385	312	253	194	136	88	53	28			4	312	88	253	136	385	194	53	28		
400	396	331	273	214	156	98	61	34	16		5	396	331	61	214	156	16	273	98	34	
400	388	309	250	191	133	85	51	26			4	309	85	388	250	133	191	51	26		
400	397	338	280	221	163	105	67	40	21	10	5	338	40	21	397	280	105	10	163	67	221
400	383	314	255	196	138	90	55	30			4	196	138	55	383	255	90	30	196		
400	395	329	271	212	154	106	68	41	22		5	271	106	22	329	68	395	212	154	41	
400	386	311	252	193	135	87	52	27			4	311	87	386	252	52	27	193	135		
400	398	336	277	218	160	112	74	46	29	15	5	398	336	46	15	277	112	218	160	74	29
400	384	313	254	195	137	89	54	29			4	313	54	29	254	137	384	195	89		
400	392	327	268	209	151	103	65	38	20		5	209	151	38	392	327	65	268	103	20	
